皮肤名称	组件	状态	原始文件名/资源键	URL	说明
黄色界面	choice_button	wrong_1	wrong-1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/ec140265c9bb4a2910185746265b74ff.png	选择题正确/错误反馈标记
黄色界面	choice_button	wrong_2	wrong-2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/1bde273fb93683b50d083b69bf8194ef.png	选择题正确/错误反馈标记
黄色界面	choice_button	correct_1	correct-1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/6f6bd133b14fd89bb2af6de64fb94d81.png	选择题正确/错误反馈标记
黄色界面	choice_button	correct_2	correct-2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/7ad10d1c403adae3997d1955f6ad9e97.png	选择题正确/错误反馈标记
黄色界面	drag_item	note	选项.png	MDraggbale 拖拽物状态资源。当前三套皮肤 default/dragging/placed 共用同一张选项图。	拖拽物状态图
黄色界面	drag_item	default	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/dafc60f4ca960667071004011acbf26e.png	拖拽物状态图
黄色界面	drag_item	dragging	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/dafc60f4ca960667071004011acbf26e.png	拖拽物状态图
黄色界面	drag_item	placed	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/dafc60f4ca960667071004011acbf26e.png	拖拽物状态图
黄色界面	drag_place	note	xuxian2.png	LDragPlace 放置框状态资源。xuxian1 用于默认/可吸附；xuxian2 用于已吸附/已放置。	拖拽放置框状态图
黄色界面	drag_place	default	xuxian1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/95a90263bb3603ceff4973734e5e197c.png	拖拽放置框状态图
黄色界面	drag_place	adsorb	xuxian1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/95a90263bb3603ceff4973734e5e197c.png	拖拽放置框状态图
黄色界面	drag_place	adsorbed	xuxian2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/1f80da77c1cb9ee47188efb12edde7a3.png	拖拽放置框状态图
黄色界面	drag_place	placed	xuxian2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/1f80da77c1cb9ee47188efb12edde7a3.png	拖拽放置框状态图
蓝色界面	background	default	蓝色__blueBg.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/291cc642d06465540b7a25d3c3c1ff68.png	背景图
蓝色界面	input_box	default	buleDefault.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/405c3617f7e6ef27bec1783b1e24f00d.png	填空框状态图
蓝色界面	input_box	answering	blueSelected.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/38d281b2bc32f4ec45bd0e6fc2f01279.png	填空框状态图
蓝色界面	input_box	correct	right.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/c6c05e0551b4f1738a03a290fdf68066.png	填空框状态图
